run_name,seed,model_name,epochs,batch_size,lr,img_size,train_fraction,color_jitter,use_affine,use_erasing,weighted_sampling,best_val_acc,test_acc,time_min,checkpoint,history_csv
baseline_s42,42,resnet50,5,8,0.0003,224,1.0,0.1,False,False,False,0.7833026396562308,0.7858475314015669,12.85843871831894,/content/drive/MyDrive/stanford_cars_project/models/best_baseline_s42_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_baseline_s42_resnet50.csv
baseline_s43,43,resnet50,5,8,0.0003,224,1.0,0.1,False,False,False,0.7630448127685697,0.7772665091406541,12.866918953259786,/content/drive/MyDrive/stanford_cars_project/models/best_baseline_s43_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_baseline_s43_resnet50.csv
baseline_s44,44,resnet50,5,8,0.0003,224,1.0,0.1,False,False,False,0.7759361571516268,0.7838577291381669,12.985455266634624,/content/drive/MyDrive/stanford_cars_project/models/best_baseline_s44_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_baseline_s44_resnet50.csv
baseline_s45,45,resnet50,2,2,0.0003,160,0.2,0.1,False,False,False,0.005524861878453,0.0068399452804377,1.5893813172976177,/content/drive/MyDrive/stanford_cars_project/models/best_baseline_s45_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_baseline_s45_resnet50.csv
baseline_s46,46,resnet50,2,2,0.0003,160,0.2,0.1,False,False,False,0.0116635972989564,0.0119388135804004,1.5844348510106403,/content/drive/MyDrive/stanford_cars_project/models/best_baseline_s46_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_baseline_s46_resnet50.csv
jit02,42,resnet50,2,2,0.0003,160,0.2,0.2,False,False,False,0.0141190914671577,0.0114413630145504,1.5794140974680582,/content/drive/MyDrive/stanford_cars_project/models/best_jit02_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_jit02_resnet50.csv
affine,42,resnet50,2,2,0.0003,160,0.2,0.1,True,False,False,0.007366482504604,0.0058450441487377,1.5821844776471456,/content/drive/MyDrive/stanford_cars_project/models/best_affine_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_affine_resnet50.csv
erasing,42,resnet50,2,2,0.0003,160,0.2,0.1,False,True,False,0.011049723756906,0.0124362641462504,1.58572811683019,/content/drive/MyDrive/stanford_cars_project/models/best_erasing_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_erasing_resnet50.csv
weighted,42,resnet50,2,2,0.0003,160,0.2,0.1,False,False,True,0.0141190914671577,0.0114413630145504,1.554917315642039,/content/drive/MyDrive/stanford_cars_project/models/best_weighted_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_weighted_resnet50.csv
full_aug,42,resnet50,2,2,0.0003,160,0.2,0.2,True,True,False,0.0122774708410067,0.0093271981096878,1.588488662242889,/content/drive/MyDrive/stanford_cars_project/models/best_full_aug_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_full_aug_resnet50.csv
baseline_rep_s42,42,resnet50,5,8,0.0003,224,1.0,0.1,False,False,False,0.7833026396562308,0.7858475314015669,12.781416507562,/content/drive/MyDrive/stanford_cars_project/models/best_baseline_rep_s42_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_baseline_rep_s42_resnet50.csv
baseline_rep_s43,43,resnet50,5,8,0.0003,224,1.0,0.1,False,False,False,0.7630448127685697,0.7772665091406541,12.941774523258209,/content/drive/MyDrive/stanford_cars_project/models/best_baseline_rep_s43_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_baseline_rep_s43_resnet50.csv
baseline_rep_s44,44,resnet50,5,8,0.0003,224,1.0,0.1,False,False,False,0.7759361571516268,0.7838577291381669,12.940397377808887,/content/drive/MyDrive/stanford_cars_project/models/best_baseline_rep_s44_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_baseline_rep_s44_resnet50.csv
full_aug_rep_s42,42,resnet50,2,2,0.0003,160,0.2,0.2,True,True,False,0.0122774708410067,0.0093271981096878,1.6261956771214805,/content/drive/MyDrive/stanford_cars_project/models/best_full_aug_rep_s42_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_full_aug_rep_s42_resnet50.csv
full_aug_rep_s43,43,resnet50,2,2,0.0003,160,0.2,0.2,True,True,False,0.007366482504604,0.0101977365999253,1.5770627419153849,/content/drive/MyDrive/stanford_cars_project/models/best_full_aug_rep_s43_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_full_aug_rep_s43_resnet50.csv
full_aug_rep_s44,44,resnet50,2,2,0.0003,160,0.2,0.2,True,True,False,0.0049109883364027,0.0063424947145877,1.574665359656016,/content/drive/MyDrive/stanford_cars_project/models/best_full_aug_rep_s44_resnet50.pt,/content/drive/MyDrive/stanford_cars_project/data/history_full_aug_rep_s44_resnet50.csv
